,0
769-P,0
786-0,1
A-172/H.Fine,2
A-204,3
A-C/EBP 3,4
A-CREB 1,5
A-CREB 2,6
A-FOS 2,7
A-FOS 3,8
A-JUN 1,9
A-JUN 3,10
A431,11
A498,12
A549/ATCC,13
ACHN,14
BT-549,15
CACO-2,16
CAKI-1,17
CALU-1,18
CCD-19LU,19
CCRF-CEM,20
CHA-59,21
CHO,22
CHO/159-1,23
COLO 205,24
COLO 741,25
COLO 746,26
CXF 264L,27
DB,28
DLD-1,29
DMS 114,30
DMS 273,31
DU-145,32
EKVX,33
ES-2 CNCR,34
H1299p53RE29,35
HCC-2998,36
HCT-116,37
HCT-116/CMV-1,38
HCT-116/CMV-2,39
HCT-116/E6-1,40
HCT-116/E6-2,41
HCT-116/P,42
HCT-116/P21/A,43
HCT-116/P21/B,44
HCT-116/P21/C,45
HCT-116/PV,46
HCT-15,47
HL-60(TB),48
HOP-18,49
HOP-62,50
HOP-92,51
HS 578T,52
HT,53
HT29,54
HT29p53RE22,55
IGROV1,56
JCA-1,57
K-562,58
KM12,59
KM20L2,60
LN-229/H.Fine,61
LOX IMVI,62
LXFL 529,63
LXFS 650L,64
M14,65
M19-MEL,66
MALME-3M,67
MAXF 401,68
MCF7,69
MCF7-E6,70
MCF7/ATCC,71
MDA-MB-231/ATCC,72
MDA-MB-435,73
MDA-MB-435S,74
MDA-MB-468,75
MDA-N,76
MEXF 514L,77
MLI-019,78
MLI-045,79
MLI-059,80
MLI-076,81
MOLT-4,82
Mar-Bel,83
NB4,84
NCI-H226,85
NCI-H23,86
NCI-H322M,87
NCI-H460,88
NCI-H522,89
NCI/ADR-RES,90
ND-1,91
NYH,92
NYH/ICRF-187-1,93
OVCAR-3,94
OVCAR-4,95
OVCAR-5,96
OVCAR-8,97
OVXF 899,98
P388,99
P388/ADR,100
PC-3,101
RKO Waf1,102
RKOp53RE1,103
RL,104
RPMI-7951,105
RPMI-8226,106
RXF 393,107
RXF 486L,108
RXF-631,109
SF-268,110
SF-295,111
SF-539,112
SF-539,113
SF-767,114
SK-BR-3,115
SK-MEL-2,116
SK-MEL-28,117
SK-MEL-5,118
SK-OV-3,119
SMS-KCNR,120
SN12C,121
SN12K1,122
SNB-19,123
SNB-75,124
SNB-78,125
SR,126
SS-78,127
SW 1088,128
SW 1783,129
SW-156,130
SW-1573,131
SW-620,132
T-47D,133
T47D ERE4,134
T47D FOS1,135
T47D NFkB15,136
T98G/H.Fine,137
TK-10,138
TK-164,139
TSU-PRI,140
U-251/H.Fine,141
U-373/H.Fine,142
U-87/H.Fine,143
U118/H.Fine,144
U251,145
UABLG22,146
UABMEL3,147
UACC-257,148
UACC-62,149
UISO-BCA-1,150
UO-31,151
UOK-57,152
VDSO/CMV-8,153
VDSO/CMV-9,154
VDSO/E6-18,155
VDSO/E6-19,156
VDSO/P,157
WI-38,158
XF 498,159
ZR-75-1,160
